key,name,source,numeric_scores,model_count,document_count,highest_raw_value,highest_display_value,display_multiplier,unit,direction,headroom_state,percentage_headroom,release_date,score_date_precision,document_organizations,highest_observations
llm-stats:countqa,CountQA,llm_stats,1,1,1,0.77,77.0,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 1}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/countqa?top_n=500"", ""key"": ""llm-stats:countqa"", ""measured_by"": null, ""model_id"": ""qwen3.7-plus"", ""model_name"": ""Qwen3.7-Plus"", ""obs_id"": ""llm_stats:countqa:qwen3.7-plus"", ""organization"": ""Qwen"", ""rank_in_source_response"": 1, ""raw_value"": ""0.77"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-05-31"", ""series_id"": ""llm_stats:countqa:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/countqa?top_n=500"", ""value"": 0.77, ""value_kind"": ""number""}]"
llm-stats:covost2,CoVoST2,llm_stats,4,4,1,0.407,40.699999999999996,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 4}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/covost2?top_n=500"", ""key"": ""llm-stats:covost2"", ""measured_by"": null, ""model_id"": ""nova-2-omni"", ""model_name"": ""Nova 2 Omni"", ""obs_id"": ""llm_stats:covost2:nova-2-omni"", ""organization"": ""Amazon"", ""rank_in_source_response"": 1, ""raw_value"": ""0.407"", ""reported_by"": ""self_reported"", ""reported_date"": ""2025-12-02"", ""series_id"": ""llm_stats:covost2:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/covost2?top_n=500"", ""value"": 0.407, ""value_kind"": ""number""}]"
llm-stats:covost2-en-zh,CoVoST2 en-zh,llm_stats,1,1,1,0.414,0.414,1,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 1}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/covost2-en-zh?top_n=500"", ""key"": ""llm-stats:covost2-en-zh"", ""measured_by"": null, ""model_id"": ""qwen2.5-omni-7b"", ""model_name"": ""Qwen2.5-Omni-7B"", ""obs_id"": ""llm_stats:covost2-en-zh:qwen2.5-omni-7b"", ""organization"": ""Qwen"", ""rank_in_source_response"": 1, ""raw_value"": ""0.414"", ""reported_by"": ""self_reported"", ""reported_date"": ""2025-03-27"", ""series_id"": ""llm_stats:covost2-en-zh:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/covost2-en-zh?top_n=500"", ""value"": 0.414, ""value_kind"": ""number""}]"
llm-stats:coworkbench,CoWorkBench,llm_stats,4,4,1,0.748,74.8,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 4}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/coworkbench?top_n=500"", ""key"": ""llm-stats:coworkbench"", ""measured_by"": null, ""model_id"": ""qwen3.8-max"", ""model_name"": ""Qwen3.8 Max"", ""obs_id"": ""llm_stats:coworkbench:qwen3.8-max"", ""organization"": ""Qwen"", ""rank_in_source_response"": 1, ""raw_value"": ""0.748"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-08-02"", ""series_id"": ""llm_stats:coworkbench:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/coworkbench?top_n=500"", ""value"": 0.748, ""value_kind"": ""number""}]"
llm-stats:crag,CRAG,llm_stats,3,3,1,0.503,50.3,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 3}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/crag?top_n=500"", ""key"": ""llm-stats:crag"", ""measured_by"": null, ""model_id"": ""nova-pro"", ""model_name"": ""Nova Pro"", ""obs_id"": ""llm_stats:crag:nova-pro"", ""organization"": ""Amazon"", ""rank_in_source_response"": 1, ""raw_value"": ""0.503"", ""reported_by"": ""self_reported"", ""reported_date"": ""2024-11-20"", ""series_id"": ""llm_stats:crag:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/crag?top_n=500"", ""value"": 0.503, ""value_kind"": ""number""}]"
llm-stats:creative-writing-v3,Creative Writing v3,llm_stats,13,13,1,0.875,87.5,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 13}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/creative-writing-v3?top_n=500"", ""key"": ""llm-stats:creative-writing-v3"", ""measured_by"": null, ""model_id"": ""qwen3-235b-a22b-instruct-2507"", ""model_name"": ""Qwen3-235B-A22B-Instruct-2507"", ""obs_id"": ""llm_stats:creative-writing-v3:qwen3-235b-a22b-instruct-2507"", ""organization"": ""Qwen"", ""rank_in_source_response"": 1, ""raw_value"": ""0.875"", ""reported_by"": ""self_reported"", ""reported_date"": ""2025-07-22"", ""series_id"": ""llm_stats:creative-writing-v3:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/creative-writing-v3?top_n=500"", ""value"": 0.875, ""value_kind"": ""number""}]"
llm-stats:creativework,CreativeWork,llm_stats,2,2,1,0.425,42.5,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 2}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/creativework?top_n=500"", ""key"": ""llm-stats:creativework"", ""measured_by"": null, ""model_id"": ""seed-2.1-pro"", ""model_name"": ""Seed 2.1 Pro"", ""obs_id"": ""llm_stats:creativework:seed-2.1-pro"", ""organization"": ""ByteDance"", ""rank_in_source_response"": 1, ""raw_value"": ""0.425"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-06-24"", ""series_id"": ""llm_stats:creativework:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/creativework?top_n=500"", ""value"": 0.425, ""value_kind"": ""number""}]"
llm-stats:critpt,CritPT,llm_stats,5,5,1,0.167,16.7,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 5}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/critpt?top_n=500"", ""key"": ""llm-stats:critpt"", ""measured_by"": null, ""model_id"": ""glm-5.2"", ""model_name"": ""GLM-5.2"", ""obs_id"": ""llm_stats:critpt:glm-5.2"", ""organization"": ""Z.ai"", ""rank_in_source_response"": 1, ""raw_value"": ""0.167"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-06-16"", ""series_id"": ""llm_stats:critpt:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/critpt?top_n=500"", ""value"": 0.167, ""value_kind"": ""number""}]"
llm-stats:crossvid,CrossVid,llm_stats,2,2,1,0.65,65.0,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 2}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/crossvid?top_n=500"", ""key"": ""llm-stats:crossvid"", ""measured_by"": null, ""model_id"": ""seed-2.1-pro"", ""model_name"": ""Seed 2.1 Pro"", ""obs_id"": ""llm_stats:crossvid:seed-2.1-pro"", ""organization"": ""ByteDance"", ""rank_in_source_response"": 1, ""raw_value"": ""0.65"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-06-24"", ""series_id"": ""llm_stats:crossvid:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/crossvid?top_n=500"", ""value"": 0.65, ""value_kind"": ""number""}]"
llm-stats:crperelation,CRPErelation,llm_stats,1,1,1,0.765,76.5,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 1}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/crperelation?top_n=500"", ""key"": ""llm-stats:crperelation"", ""measured_by"": null, ""model_id"": ""qwen2.5-omni-7b"", ""model_name"": ""Qwen2.5-Omni-7B"", ""obs_id"": ""llm_stats:crperelation:qwen2.5-omni-7b"", ""organization"": ""Qwen"", ""rank_in_source_response"": 1, ""raw_value"": ""0.765"", ""reported_by"": ""self_reported"", ""reported_date"": ""2025-03-27"", ""series_id"": ""llm_stats:crperelation:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/crperelation?top_n=500"", ""value"": 0.765, ""value_kind"": ""number""}]"
llm-stats:crux-o,CRUX-O,llm_stats,1,1,1,0.79,0.79,1,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 1}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/crux-o?top_n=500"", ""key"": ""llm-stats:crux-o"", ""measured_by"": null, ""model_id"": ""qwen3-235b-a22b"", ""model_name"": ""Qwen3 235B A22B"", ""obs_id"": ""llm_stats:crux-o:qwen3-235b-a22b"", ""organization"": ""Qwen"", ""rank_in_source_response"": 1, ""raw_value"": ""0.79"", ""reported_by"": ""self_reported"", ""reported_date"": ""2025-04-29"", ""series_id"": ""llm_stats:crux-o:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/crux-o?top_n=500"", ""value"": 0.79, ""value_kind"": ""number""}]"
llm-stats:cruxeval-input-cot,CRUXEval-Input-CoT,llm_stats,1,1,1,0.565,56.49999999999999,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 1}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/cruxeval-input-cot?top_n=500"", ""key"": ""llm-stats:cruxeval-input-cot"", ""measured_by"": null, ""model_id"": ""qwen-2.5-coder-7b-instruct"", ""model_name"": ""Qwen2.5-Coder 7B Instruct"", ""obs_id"": ""llm_stats:cruxeval-input-cot:qwen-2.5-coder-7b-instruct"", ""organization"": ""Qwen"", ""rank_in_source_response"": 1, ""raw_value"": ""0.565"", ""reported_by"": ""self_reported"", ""reported_date"": ""2024-09-19"", ""series_id"": ""llm_stats:cruxeval-input-cot:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/cruxeval-input-cot?top_n=500"", ""value"": 0.565, ""value_kind"": ""number""}]"
llm-stats:cruxeval-o,CruxEval-O,llm_stats,1,1,1,0.513,51.300000000000004,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 1}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/cruxeval-o?top_n=500"", ""key"": ""llm-stats:cruxeval-o"", ""measured_by"": null, ""model_id"": ""codestral-22b"", ""model_name"": ""Codestral-22B"", ""obs_id"": ""llm_stats:cruxeval-o:codestral-22b"", ""organization"": ""Mistral"", ""rank_in_source_response"": 1, ""raw_value"": ""0.513"", ""reported_by"": ""self_reported"", ""reported_date"": ""2024-05-29"", ""series_id"": ""llm_stats:cruxeval-o:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/cruxeval-o?top_n=500"", ""value"": 0.513, ""value_kind"": ""number""}]"
llm-stats:cruxeval-output-cot,CRUXEval-Output-CoT,llm_stats,1,1,1,0.56,56.00000000000001,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 1}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/cruxeval-output-cot?top_n=500"", ""key"": ""llm-stats:cruxeval-output-cot"", ""measured_by"": null, ""model_id"": ""qwen-2.5-coder-7b-instruct"", ""model_name"": ""Qwen2.5-Coder 7B Instruct"", ""obs_id"": ""llm_stats:cruxeval-output-cot:qwen-2.5-coder-7b-instruct"", ""organization"": ""Qwen"", ""rank_in_source_response"": 1, ""raw_value"": ""0.56"", ""reported_by"": ""self_reported"", ""reported_date"": ""2024-09-19"", ""series_id"": ""llm_stats:cruxeval-output-cot:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/cruxeval-output-cot?top_n=500"", ""value"": 0.56, ""value_kind"": ""number""}]"
llm-stats:csimpleqa,CSimpleQA,llm_stats,8,8,1,0.844,84.39999999999999,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 8}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/csimpleqa?top_n=500"", ""key"": ""llm-stats:csimpleqa"", ""measured_by"": null, ""model_id"": ""deepseek-v4-pro-max"", ""model_name"": ""DeepSeek-V4-Pro-Max"", ""obs_id"": ""llm_stats:csimpleqa:deepseek-v4-pro-max"", ""organization"": ""DeepSeek"", ""rank_in_source_response"": 1, ""raw_value"": ""0.844"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-04-23"", ""series_id"": ""llm_stats:csimpleqa:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/csimpleqa?top_n=500"", ""value"": 0.844, ""value_kind"": ""number""}]"
llm-stats:cursorbench-3.2,CursorBench v3.2,llm_stats,1,1,1,0.699,69.89999999999999,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 1}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/cursorbench-3.2?top_n=500"", ""key"": ""llm-stats:cursorbench-3.2"", ""measured_by"": null, ""model_id"": ""grok-4.6"", ""model_name"": ""Grok 4.6"", ""obs_id"": ""llm_stats:cursorbench-3.2:grok-4.6"", ""organization"": ""xAI"", ""rank_in_source_response"": 1, ""raw_value"": ""0.699"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-08-12"", ""series_id"": ""llm_stats:cursorbench-3.2:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/cursorbench-3.2?top_n=500"", ""value"": 0.699, ""value_kind"": ""number""}]"
llm-stats:cvtg-2k,CVTG-2K,llm_stats,0,,1,,,1,,higher_is_better,unscored,,2025-03-30,{},[],[]
llm-stats:cybench,CyBench,llm_stats,2,2,1,1.0,100.0,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 2}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/cybench?top_n=500"", ""key"": ""llm-stats:cybench"", ""measured_by"": null, ""model_id"": ""claude-mythos-preview"", ""model_name"": ""Claude Mythos Preview"", ""obs_id"": ""llm_stats:cybench:claude-mythos-preview"", ""organization"": ""Anthropic"", ""rank_in_source_response"": 1, ""raw_value"": ""1.0"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-04-07"", ""series_id"": ""llm_stats:cybench:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/cybench?top_n=500"", ""value"": 1.0, ""value_kind"": ""number""}]"
llm-stats:cybergym,CyberGym,llm_stats,13,13,1,0.845,84.5,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 13}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/cybergym?top_n=500"", ""key"": ""llm-stats:cybergym"", ""measured_by"": null, ""model_id"": ""glm-5.3"", ""model_name"": ""GLM-5.3"", ""obs_id"": ""llm_stats:cybergym:glm-5.3"", ""organization"": ""Z.ai"", ""rank_in_source_response"": 1, ""raw_value"": ""0.845"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-08-14"", ""series_id"": ""llm_stats:cybergym:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/cybergym?top_n=500"", ""value"": 0.845, ""value_kind"": ""number""}]"
llm-stats:cyberseceval-4,CyberSecEval 4,llm_stats,1,1,1,0.63,63.0,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 1}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/cyberseceval-4?top_n=500"", ""key"": ""llm-stats:cyberseceval-4"", ""measured_by"": null, ""model_id"": ""mai-thinking-1"", ""model_name"": ""MAI-Thinking-1"", ""obs_id"": ""llm_stats:cyberseceval-4:mai-thinking-1"", ""organization"": ""Microsoft"", ""rank_in_source_response"": 1, ""raw_value"": ""0.63"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-06-02"", ""series_id"": ""llm_stats:cyberseceval-4:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/cyberseceval-4?top_n=500"", ""value"": 0.63, ""value_kind"": ""number""}]"
llm-stats:cybersecurity-ctfs,Cybersecurity CTFs,llm_stats,3,3,1,0.776,77.60000000000001,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 3}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/cybersecurity-ctfs?top_n=500"", ""key"": ""llm-stats:cybersecurity-ctfs"", ""measured_by"": null, ""model_id"": ""gpt-5.3-codex"", ""model_name"": ""GPT-5.3 Codex"", ""obs_id"": ""llm_stats:cybersecurity-ctfs:gpt-5.3-codex"", ""organization"": ""OpenAI"", ""rank_in_source_response"": 1, ""raw_value"": ""0.776"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-02-05"", ""series_id"": ""llm_stats:cybersecurity-ctfs:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/cybersecurity-ctfs?top_n=500"", ""value"": 0.776, ""value_kind"": ""number""}]"
llm-stats:dailyomni,DailyOmni,llm_stats,1,1,1,0.835,83.5,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 1}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/dailyomni?top_n=500"", ""key"": ""llm-stats:dailyomni"", ""measured_by"": null, ""model_id"": ""mimo-v2.5"", ""model_name"": ""MiMo-V2.5"", ""obs_id"": ""llm_stats:dailyomni:mimo-v2.5"", ""organization"": ""Xiaomi"", ""rank_in_source_response"": 1, ""raw_value"": ""0.835"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-04-22"", ""series_id"": ""llm_stats:dailyomni:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/dailyomni?top_n=500"", ""value"": 0.835, ""value_kind"": ""number""}]"
llm-stats:deck-bench,DECK-Bench,llm_stats,1,1,1,0.735,73.5,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 1}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/deck-bench?top_n=500"", ""key"": ""llm-stats:deck-bench"", ""measured_by"": null, ""model_id"": ""kimi-k3"", ""model_name"": ""Kimi K3"", ""obs_id"": ""llm_stats:deck-bench:kimi-k3"", ""organization"": ""Moonshot AI"", ""rank_in_source_response"": 1, ""raw_value"": ""0.735"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-07-16"", ""series_id"": ""llm_stats:deck-bench:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/deck-bench?top_n=500"", ""value"": 0.735, ""value_kind"": ""number""}]"
llm-stats:deep-planning,DeepPlanning,llm_stats,9,9,1,0.623,62.3,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 9}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/deep-planning?top_n=500"", ""key"": ""llm-stats:deep-planning"", ""measured_by"": null, ""model_id"": ""qwen3.7-plus"", ""model_name"": ""Qwen3.7-Plus"", ""obs_id"": ""llm_stats:deep-planning:qwen3.7-plus"", ""organization"": ""Qwen"", ""rank_in_source_response"": 1, ""raw_value"": ""0.623"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-05-31"", ""series_id"": ""llm_stats:deep-planning:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/deep-planning?top_n=500"", ""value"": 0.623, ""value_kind"": ""number""}]"
llm-stats:deepsearchqa,DeepSearchQA,llm_stats,9,9,1,0.95,95.0,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 9}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/deepsearchqa?top_n=500"", ""key"": ""llm-stats:deepsearchqa"", ""measured_by"": null, ""model_id"": ""kimi-k3"", ""model_name"": ""Kimi K3"", ""obs_id"": ""llm_stats:deepsearchqa:kimi-k3"", ""organization"": ""Moonshot AI"", ""rank_in_source_response"": 1, ""raw_value"": ""0.95"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-07-16"", ""series_id"": ""llm_stats:deepsearchqa:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/deepsearchqa?top_n=500"", ""value"": 0.95, ""value_kind"": ""number""}]"
llm-stats:deepswe,DeepSWE,llm_stats,11,11,1,0.727,72.7,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 11}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/deepswe?top_n=500"", ""key"": ""llm-stats:deepswe"", ""measured_by"": null, ""model_id"": ""gpt-5.6-sol"", ""model_name"": ""GPT-5.6 Sol"", ""obs_id"": ""llm_stats:deepswe:gpt-5.6-sol"", ""organization"": ""OpenAI"", ""rank_in_source_response"": 1, ""raw_value"": ""0.727"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-07-09"", ""series_id"": ""llm_stats:deepswe:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/deepswe?top_n=500"", ""value"": 0.727, ""value_kind"": ""number""}]"
llm-stats:deepswe-1.0,DeepSWE 1.0,llm_stats,1,1,1,0.62,62.0,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 1}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/deepswe-1.0?top_n=500"", ""key"": ""llm-stats:deepswe-1.0"", ""measured_by"": null, ""model_id"": ""grok-4.5"", ""model_name"": ""Grok 4.5"", ""obs_id"": ""llm_stats:deepswe-1.0:grok-4.5"", ""organization"": ""xAI"", ""rank_in_source_response"": 1, ""raw_value"": ""0.62"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-07-16"", ""series_id"": ""llm_stats:deepswe-1.0:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/deepswe-1.0?top_n=500"", ""value"": 0.62, ""value_kind"": ""number""}]"
llm-stats:deepswe-1.1,DeepSWE 1.1,llm_stats,25,25,1,0.73,73.0,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 25}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/deepswe-1.1?top_n=500"", ""key"": ""llm-stats:deepswe-1.1"", ""measured_by"": null, ""model_id"": ""gpt-5.6-sol"", ""model_name"": ""GPT-5.6 Sol"", ""obs_id"": ""llm_stats:deepswe-1.1:gpt-5.6-sol"", ""organization"": ""OpenAI"", ""rank_in_source_response"": 1, ""raw_value"": ""0.73"", ""reported_by"": ""third_party"", ""reported_date"": ""2026-07-09"", ""series_id"": ""llm_stats:deepswe-1.1:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/deepswe-1.1?top_n=500"", ""value"": 0.73, ""value_kind"": ""number""}]"
llm-stats:dermmcqa,DermMCQA,llm_stats,1,1,1,0.718,71.8,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 1}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/dermmcqa?top_n=500"", ""key"": ""llm-stats:dermmcqa"", ""measured_by"": null, ""model_id"": ""medgemma-4b-it"", ""model_name"": ""MedGemma 4B IT"", ""obs_id"": ""llm_stats:dermmcqa:medgemma-4b-it"", ""organization"": ""Google"", ""rank_in_source_response"": 1, ""raw_value"": ""0.718"", ""reported_by"": ""self_reported"", ""reported_date"": ""2025-05-20"", ""series_id"": ""llm_stats:dermmcqa:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/dermmcqa?top_n=500"", ""value"": 0.718, ""value_kind"": ""number""}]"
