key,name,source,numeric_scores,model_count,document_count,highest_raw_value,highest_display_value,display_multiplier,unit,direction,headroom_state,percentage_headroom,release_date,score_date_precision,document_organizations,highest_observations
llm-stats:agieval,AGIEval,llm_stats,10,10,1,0.658,65.8,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 10}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/agieval?top_n=500"", ""key"": ""llm-stats:agieval"", ""measured_by"": null, ""model_id"": ""mistral-small-24b-base-2501"", ""model_name"": ""Mistral Small 3 24B Base"", ""obs_id"": ""llm_stats:agieval:mistral-small-24b-base-2501"", ""organization"": ""Mistral"", ""rank_in_source_response"": 1, ""raw_value"": ""0.658"", ""reported_by"": ""self_reported"", ""reported_date"": ""2025-01-30"", ""series_id"": ""llm_stats:agieval:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/agieval?top_n=500"", ""value"": 0.658, ""value_kind"": ""number""}]"
llm-stats:ai2-reasoning-challenge-(arc),AI2 Reasoning Challenge (ARC),llm_stats,1,1,1,0.963,96.3,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 1}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/ai2-reasoning-challenge-%28arc%29?top_n=500"", ""key"": ""llm-stats:ai2-reasoning-challenge-(arc)"", ""measured_by"": null, ""model_id"": ""gpt-4-0613"", ""model_name"": ""GPT-4"", ""obs_id"": ""llm_stats:ai2-reasoning-challenge-(arc):gpt-4-0613"", ""organization"": ""OpenAI"", ""rank_in_source_response"": 1, ""raw_value"": ""0.963"", ""reported_by"": ""self_reported"", ""reported_date"": ""2023-06-13"", ""series_id"": ""llm_stats:ai2-reasoning-challenge-(arc):default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/ai2-reasoning-challenge-%28arc%29?top_n=500"", ""value"": 0.963, ""value_kind"": ""number""}]"
llm-stats:ai2d,AI2D,llm_stats,33,33,1,0.947,94.69999999999999,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 33}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/ai2d?top_n=500"", ""key"": ""llm-stats:ai2d"", ""measured_by"": null, ""model_id"": ""claude-3-5-sonnet-20241022"", ""model_name"": ""Claude 3.5 Sonnet"", ""obs_id"": ""llm_stats:ai2d:claude-3-5-sonnet-20241022"", ""organization"": ""Anthropic"", ""rank_in_source_response"": 1, ""raw_value"": ""0.947"", ""reported_by"": ""self_reported"", ""reported_date"": ""2024-10-22"", ""series_id"": ""llm_stats:ai2d:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/ai2d?top_n=500"", ""value"": 0.947, ""value_kind"": ""number""}]"
llm-stats:aider,Aider,llm_stats,4,4,1,0.722,72.2,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 4}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/aider?top_n=500"", ""key"": ""llm-stats:aider"", ""measured_by"": null, ""model_id"": ""deepseek-v2.5"", ""model_name"": ""DeepSeek-V2.5"", ""obs_id"": ""llm_stats:aider:deepseek-v2.5"", ""organization"": ""DeepSeek"", ""rank_in_source_response"": 1, ""raw_value"": ""0.722"", ""reported_by"": ""self_reported"", ""reported_date"": ""2024-05-08"", ""series_id"": ""llm_stats:aider:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/aider?top_n=500"", ""value"": 0.722, ""value_kind"": ""number""}]"
llm-stats:aider-polyglot,Aider-Polyglot,llm_stats,22,22,1,0.88,88.0,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 22}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/aider-polyglot?top_n=500"", ""key"": ""llm-stats:aider-polyglot"", ""measured_by"": null, ""model_id"": ""gpt-5-2025-08-07"", ""model_name"": ""GPT-5"", ""obs_id"": ""llm_stats:aider-polyglot:gpt-5-2025-08-07"", ""organization"": ""OpenAI"", ""rank_in_source_response"": 1, ""raw_value"": ""0.88"", ""reported_by"": ""self_reported"", ""reported_date"": ""2025-08-07"", ""series_id"": ""llm_stats:aider-polyglot:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/aider-polyglot?top_n=500"", ""value"": 0.88, ""value_kind"": ""number""}]"
llm-stats:aider-polyglot-edit,Aider-Polyglot Edit,llm_stats,10,10,1,0.797,79.7,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 10}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/aider-polyglot-edit?top_n=500"", ""key"": ""llm-stats:aider-polyglot-edit"", ""measured_by"": null, ""model_id"": ""deepseek-v3"", ""model_name"": ""DeepSeek-V3"", ""obs_id"": ""llm_stats:aider-polyglot-edit:deepseek-v3"", ""organization"": ""DeepSeek"", ""rank_in_source_response"": 1, ""raw_value"": ""0.797"", ""reported_by"": ""self_reported"", ""reported_date"": ""2024-12-25"", ""series_id"": ""llm_stats:aider-polyglot-edit:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/aider-polyglot-edit?top_n=500"", ""value"": 0.797, ""value_kind"": ""number""}]"
llm-stats:aime,AIME,llm_stats,2,2,1,0.575,57.49999999999999,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 2}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/aime?top_n=500"", ""key"": ""llm-stats:aime"", ""measured_by"": null, ""model_id"": ""phi-4-mini-reasoning"", ""model_name"": ""Phi 4 Mini Reasoning"", ""obs_id"": ""llm_stats:aime:phi-4-mini-reasoning"", ""organization"": ""Microsoft"", ""rank_in_source_response"": 1, ""raw_value"": ""0.575"", ""reported_by"": ""self_reported"", ""reported_date"": ""2025-04-30"", ""series_id"": ""llm_stats:aime:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/aime?top_n=500"", ""value"": 0.575, ""value_kind"": ""number""}]"
llm-stats:aime-2024,AIME 2024,llm_stats,53,53,1,0.958,95.8,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 53}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/aime-2024?top_n=500"", ""key"": ""llm-stats:aime-2024"", ""measured_by"": null, ""model_id"": ""grok-3-mini"", ""model_name"": ""Grok-3 Mini"", ""obs_id"": ""llm_stats:aime-2024:grok-3-mini"", ""organization"": ""xAI"", ""rank_in_source_response"": 1, ""raw_value"": ""0.958"", ""reported_by"": ""self_reported"", ""reported_date"": ""2025-02-17"", ""series_id"": ""llm_stats:aime-2024:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/aime-2024?top_n=500"", ""value"": 0.958, ""value_kind"": ""number""}]"
llm-stats:aime-2025,AIME 2025,llm_stats,115,115,1,1.0,100.0,100,,higher_is_better,other_or_unverified_scale,,2025-02-12,"{""model_announcement"": 115}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/aime-2025?top_n=500"", ""key"": ""llm-stats:aime-2025"", ""measured_by"": null, ""model_id"": ""gemini-3-pro-preview"", ""model_name"": ""Gemini 3 Pro"", ""obs_id"": ""llm_stats:aime-2025:gemini-3-pro-preview"", ""organization"": ""Google"", ""rank_in_source_response"": 3, ""raw_value"": ""1.0"", ""reported_by"": ""self_reported"", ""reported_date"": ""2025-11-18"", ""series_id"": ""llm_stats:aime-2025:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/aime-2025?top_n=500"", ""value"": 1.0, ""value_kind"": ""number""}, {""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/aime-2025?top_n=500"", ""key"": ""llm-stats:aime-2025"", ""measured_by"": null, ""model_id"": ""gpt-5.2-2025-12-11"", ""model_name"": ""GPT-5.2"", ""obs_id"": ""llm_stats:aime-2025:gpt-5.2-2025-12-11"", ""organization"": ""OpenAI"", ""rank_in_source_response"": 1, ""raw_value"": ""1.0"", ""reported_by"": ""self_reported"", ""reported_date"": ""2025-12-11"", ""series_id"": ""llm_stats:aime-2025:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/aime-2025?top_n=500"", ""value"": 1.0, ""value_kind"": ""number""}, {""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/aime-2025?top_n=500"", ""key"": ""llm-stats:aime-2025"", ""measured_by"": null, ""model_id"": ""gpt-5.2-pro-2025-12-11"", ""model_name"": ""GPT-5.2 Pro"", ""obs_id"": ""llm_stats:aime-2025:gpt-5.2-pro-2025-12-11"", ""organization"": ""OpenAI"", ""rank_in_source_response"": 2, ""raw_value"": ""1.0"", ""reported_by"": ""self_reported"", ""reported_date"": ""2025-12-11"", ""series_id"": ""llm_stats:aime-2025:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/aime-2025?top_n=500"", ""value"": 1.0, ""value_kind"": ""number""}, {""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/aime-2025?top_n=500"", ""key"": ""llm-stats:aime-2025"", ""measured_by"": null, ""model_id"": ""grok-4-heavy"", ""model_name"": ""Grok-4 Heavy"", ""obs_id"": ""llm_stats:aime-2025:grok-4-heavy"", ""organization"": ""xAI"", ""rank_in_source_response"": 5, ""raw_value"": ""1.0"", ""reported_by"": ""self_reported"", ""reported_date"": ""2025-07-09"", ""series_id"": ""llm_stats:aime-2025:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/aime-2025?top_n=500"", ""value"": 1.0, ""value_kind"": ""number""}, {""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/aime-2025?top_n=500"", ""key"": ""llm-stats:aime-2025"", ""measured_by"": null, ""model_id"": ""kimi-k2-thinking-0905"", ""model_name"": ""Kimi K2-Thinking-0905"", ""obs_id"": ""llm_stats:aime-2025:kimi-k2-thinking-0905"", ""organization"": ""Moonshot AI"", ""rank_in_source_response"": 4, ""raw_value"": ""1.0"", ""reported_by"": ""self_reported"", ""reported_date"": ""2025-09-05"", ""series_id"": ""llm_stats:aime-2025:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/aime-2025?top_n=500"", ""value"": 1.0, ""value_kind"": ""number""}]"
llm-stats:aime-2026,AIME 2026,llm_stats,21,21,1,0.992,99.2,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 21}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/aime-2026?top_n=500"", ""key"": ""llm-stats:aime-2026"", ""measured_by"": null, ""model_id"": ""glm-5.2"", ""model_name"": ""GLM-5.2"", ""obs_id"": ""llm_stats:aime-2026:glm-5.2"", ""organization"": ""Z.ai"", ""rank_in_source_response"": 1, ""raw_value"": ""0.992"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-06-16"", ""series_id"": ""llm_stats:aime-2026:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/aime-2026?top_n=500"", ""value"": 0.992, ""value_kind"": ""number""}]"
